,comands,real_current,goal_current,goal_next
0,средне вверх ,0.0,0.0,0.46040862882453626
1,немного вниз ,0.46040862882453626,0.46040862882453626,0.1887126620906303
2,немного вверх ,0.1887126620906303,0.1887126620906303,0.4957317322734419
3,средне вниз ,0.4957317322734419,0.4957317322734419,0.015091534567095999
4,уверенно вверх ,0.015091534567095999,0.015091534567095999,0.7232297313592995
5,средне вниз ,0.7232297313592995,0.7232297313592995,0.32142146406518546
6,уверенно вверх ,0.32142146406518546,0.32142146406518546,0.941858596403105
7,немного вниз ,0.941858596403105,0.941858596403105,0.7247799684986115
8,чуть-чуть вниз ,0.7247799684986115,0.7247799684986115,0.6502295387820141
9,немного чуть-чуть вверх ,0.6502295387820141,0.6502295387820141,0.8158032606228658
10,неный вниз ,0.8158032606228658,0.8158032606228658,0.46535681542206286
11,чуть-чуть вниз ,0.46535681542206286,0.46535681542206286,0.3996137568920004
12,капельку чуть-чуть вверх ,0.3996137568920004,0.3996137568920004,0.4280129587188487
13,немного вниз ,0.4280129587188487,0.4280129587188487,0.29249378801784776
14,средне вверх ,0.29249378801784776,0.29249378801784776,0.7286163989511845
15,уверенно вниз ,0.7286163989511845,0.7286163989511845,0.17193649528153365
16,сильно вверх ,0.17193649528153365,0.17193649528153365,0.9534659416829697
17,вниз сильно ,0.9534659416829697,0.9534659416829697,0.09571472487181676
18,уверенно вверх ,0.09571472487181676,0.09571472487181676,0.7013755379817866
19,средне вниз ,0.7013755379817866,0.7013755379817866,0.3651272027681569
20,немного вниз ,0.3651272027681569,0.3651272027681569,0.14469460788976585
21,сильно вверх ,0.14469460788976585,0.14469460788976585,0.902909119208499
22,чуть-чуть вниз ,0.902909119208499,0.902909119208499,0.8236627121780753
23,чуть-чуть вниз капельку ,0.8236627121780753,0.8236627121780753,0.8135898352278127
24,вниз сильно ,0.8135898352278127,0.8135898352278127,0.23106054561772837
25,средне вверх ,0.23106054561772837,0.23106054561772837,0.6142506351028918
26,чуть-чуть вниз ,0.6142506351028918,0.6142506351028918,0.5272462844602995
27,средне вверх ,0.5272462844602995,0.5272462844602995,0.8366496615553107
28,вниз сильно ,0.8366496615553107,0.8366496615553107,0.1670204483194837
29,уверенно вверх ,0.1670204483194837,0.1670204483194837,0.7340163661650777
30,чуть-чуть вверх ,0.7340163661650777,0.7340163661650777,0.8273370760217851
31,вниз сильно ,0.8273370760217851,0.8273370760217851,0.20254769795112904
32,уверенно очень вверх ,0.20254769795112904,0.20254769795112904,0.7817587196268156
33,немного вниз ,0.7817587196268156,0.7817587196268156,0.5799301734186808
34,ровно ,0.5799301734186808,0.5799301734186808,0.5945135106590694
35,чуть-чуть вверх ,0.5945135106590694,0.5945135106590694,0.7329211350404871
36,так-же ровно ,0.7329211350404871,0.7329211350404871,0.7327802751262567
37,средне вниз ,0.7327802751262567,0.7327802751262567,0.39293738100196196
38,немного вверх ,0.39293738100196196,0.39293738100196196,0.6278176614761256
39,уверенно вниз ,0.6278176614761256,0.6278176614761256,0.14193411806865486
40,уверенно очень вверх ,0.14193411806865486,0.14193411806865486,0.7535602742089041
41,средне вниз ,0.7535602742089041,0.7535602742089041,0.5183168804578177
42,немного вверх ,0.5183168804578177,0.5183168804578177,0.72887267558082
43,немного вниз ,0.72887267558082,0.72887267558082,0.46229444546333287
44,капельку чуть-чуть вверх ,0.46229444546333287,0.46229444546333287,0.5134232521414666
45,средне вниз ,0.5134232521414666,0.5134232521414666,0.09638280944031252
46,чуть-чуть вниз ,0.09638280944031252,0.09638280944031252,0.00632240031065312
47,уверенно очень вверх ,0.00632240031065312,0.00632240031065312,0.7010400180804762
48,немного вверх ,0.7010400180804762,0.7010400180804762,0.984016070525678
49,уверенно вниз ,0.984016070525678,0.984016070525678,0.31313969541984055
50,средне вверх ,0.31313969541984055,0.31313969541984055,0.6203756227159527
51,немного вверх ,0.6203756227159527,0.6203756227159527,0.8698367303758304
52,немного вниз ,0.8698367303758304,0.8698367303758304,0.5963847822376356
53,немного вверх ,0.5963847822376356,0.5963847822376356,0.8991636025287871
54,чуть-чуть вниз ,0.8991636025287871,0.8991636025287871,0.7938705318004252
55,немного чуть-чуть вниз ,0.7938705318004252,0.7938705318004252,0.5538733874149149
56,средне вверх ,0.5538733874149149,0.5538733874149149,0.8827229519486371
57,уверенно вниз ,0.8827229519486371,0.8827229519486371,0.3417868703227076
58,немного вверх ,0.3417868703227076,0.3417868703227076,0.5871662437265623
59,средне вниз ,0.5871662437265623,0.5871662437265623,0.1601039912594857
60,сильно вверх ,0.1601039912594857,0.1601039912594857,0.875242040311223
61,вниз сильно ,0.875242040311223,0.875242040311223,0.18829811207964087
62,очень сильно вверх ,0.18829811207964087,0.18829811207964087,0.9745981292484193
63,вниз очень сильно ,0.9745981292484193,0.9745981292484193,0.07139483046744544
64,очень сильно вверх ,0.07139483046744544,0.07139483046744544,0.9031199285458806
65,вниз сильно ,0.9031199285458806,0.9031199285458806,0.29106886285852074
66,сильно вверх ,0.29106886285852074,0.29106886285852074,0.8524787561460729
67,уверенно вниз ,0.8524787561460729,0.8524787561460729,0.4945731927827063
68,уверенно вверх ,0.4945731927827063,0.4945731927827063,0.9778773798839593
69,вниз сильно ,0.9778773798839593,0.9778773798839593,0.24912409268143987
70,чуть-чуть вверх ,0.24912409268143987,0.24912409268143987,0.34551936007624673
71,капельку чуть-чуть вверх ,0.34551936007624673,0.34551936007624673,0.39693077414011657
72,чуть-чуть вниз капельку ,0.39693077414011657,0.39693077414011657,0.35835754031407296
73,немного вниз ,0.35835754031407296,0.35835754031407296,0.15323856192233543
74,немного вверх ,0.15323856192233543,0.15323856192233543,0.5074282219136083
75,средне вверх ,0.5074282219136083,0.5074282219136083,0.9092806325520357
76,уверенно вниз ,0.9092806325520357,0.9092806325520357,0.3804936138977455
77,чуть-чуть вверх ,0.3804936138977455,0.3804936138977455,0.4623333294994413
78,уверенно вверх ,0.4623333294994413,0.4623333294994413,0.935899090721054
79,немного вниз ,0.935899090721054,0.935899090721054,0.7979989948653959
80,вниз очень сильно ,0.7979989948653959,0.7979989948653959,0.04167532336062363
81,так-же ,0.04167532336062363,0.04167532336062363,0.026903889919106194
82,очень сильно вверх ,0.026903889919106194,0.026903889919106194,0.8774545946149656
83,чуть-чуть вверх ,0.8774545946149656,0.8774545946149656,0.9684275950742208
84,вниз сильно ,0.9684275950742208,0.9684275950742208,0.35532766093619195
85,чуть-чуть вверх ,0.35532766093619195,0.35532766093619195,0.44201585908554175
