,NN
0,0.005642988171919135
1,0.0019620936444181766
2,0.002371254923420491
3,0.007212604130643093
4,0.0016962585985472944
5,0.002640301981494562
6,0.0020840412794256484
7,0.0032315784265954453
8,0.0032211675012111135
9,0.004580933974640155
10,0.0041004084889729436
11,0.002996973169113219
12,0.0042115299588717705
13,0.0056290074764898225
14,0.002523284893077727
15,0.00362027963191324
16,0.0006770793370072406
17,0.004130677865945783
18,0.0012594195578331353
19,0.005788856550580496
20,0.0008973977606395961
21,0.004228253331268015
22,0.003212098614119835
23,0.003268974783680958
24,0.0027209067407324566
25,0.004123380313834466
26,0.000949279275674938
27,0.0015180279374088302
28,0.0013784014684912593
29,0.003303211309173149
