﻿﻿средне,неочень,чуть-чуть,так-же,немного,сильно,очень,уверенно,капельку,transition
0,0,0,0,1,0,0,0,0,0.2716959667339059
0,0,0,0,1,0,0,0,0,0.3070190701828116
1,0,0,0,0,0,0,0,0,0.4806401977063459
0,0,0,0,0,0,0,1,0,0.7081381967922035
1,0,0,0,0,0,0,0,0,0.401808267294114
0,0,0,0,0,0,0,1,0,0.6204371323379195
0,0,0,0,1,0,0,0,0,0.2170786279044935
0,0,1,0,0,0,0,0,0,0.07455042971659742
0,0,1,0,1,0,0,0,0,0.16557372184085173
0,0,1,0,0,0,0,0,0,0.06574305853006251
0,0,1,0,0,0,0,0,1,0.028399201826848297
0,0,0,0,1,0,0,0,0,0.13551917070100095
1,0,0,0,0,0,0,0,0,0.4361226109333367
0,0,0,0,0,0,0,1,0,0.5566799036696508
0,0,0,0,0,1,0,0,0,0.781529446401436
0,0,0,0,0,1,0,0,0,0.8577512168111529
0,0,0,0,0,0,0,1,0,0.6056608131099699
1,0,0,0,0,0,0,0,0,0.33624833521362973
0,0,0,0,1,0,0,0,0,0.22043259487839106
0,0,0,0,0,1,0,0,0,0.7582145113187332
0,0,1,0,0,0,0,0,0,0.07924640703042374
0,0,1,0,0,0,0,0,1,0.0100728769502626
0,0,0,0,0,1,0,0,0,0.5825292896100843
1,0,0,0,0,0,0,0,0,0.3831900894851634
0,0,1,0,0,0,0,0,0,0.08700435064259227
1,0,0,0,0,0,0,0,0,0.3094033770950112
0,0,0,0,0,1,0,0,0,0.669629213235827
0,0,0,0,0,0,0,1,0,0.566995917845594
0,0,1,0,0,0,0,0,0,0.09332070985670737
0,0,0,0,0,1,0,0,0,0.624789378070656
0,0,0,0,0,0,1,1,0,0.5792110216756866
0,0,0,0,1,0,0,0,0,0.20182854620813484
0,0,0,1,0,0,0,0,0,0.014583337240388627
0,0,1,0,0,0,0,0,0,0.13840762438141763
0,0,0,1,0,0,0,0,0,0.00014085991423040678
1,0,0,0,0,0,0,0,0,0.33984289412429464
0,0,0,0,1,0,0,0,0,0.2348802804741636
0,0,0,0,0,0,0,1,0,0.48588354340747075
0,0,0,0,0,0,1,1,0,0.6116261561402493
1,0,0,0,0,0,0,0,0,0.2352433937510865
0,0,0,0,1,0,0,0,0,0.21055579512300238
0,0,0,0,1,0,0,0,0,0.2665782301174871
0,0,1,0,0,0,0,0,1,0.05112880667813363
1,0,0,0,0,0,0,0,0,0.41704044270115403
0,0,1,0,0,0,0,0,0,0.0900604091296594
0,0,0,0,0,0,1,1,0,0.6947176177698231
0,0,0,0,1,0,0,0,0,0.28297605244520174
0,0,0,0,0,0,0,1,0,0.6708763751058375
1,0,0,0,0,0,0,0,0,0.3072359272961122
0,0,0,0,1,0,0,0,0,0.24946110765987772
0,0,0,0,1,0,0,0,0,0.27345194813819484
0,0,0,0,1,0,0,0,0,0.30277882029115155
0,0,1,0,0,0,0,0,0,0.10529307072836191
0,0,1,0,1,0,0,0,0,0.23999714438551034
1,0,0,0,0,0,0,0,0,0.32884956453372227
0,0,0,0,0,0,0,1,0,0.5409360816259295
0,0,0,0,1,0,0,0,0,0.24537937340385474
1,0,0,0,0,0,0,0,0,0.42706225246707663
0,0,0,0,0,1,0,0,0,0.7151380490517373
0,0,0,0,0,1,0,0,0,0.6869439282315821
0,0,0,0,0,1,1,0,0,0.7863000171687783
0,0,0,0,0,1,1,0,0,0.9032032987809737
0,0,0,0,0,1,1,0,0,0.8317250980784352
0,0,0,0,0,1,0,0,0,0.6120510656873599
0,0,0,0,0,1,0,0,0,0.5614098932875522
0,0,0,0,0,0,0,1,0,0.35790556336336665
0,0,0,0,0,0,0,1,0,0.4833041871012529
0,0,0,0,0,1,0,0,0,0.7287532872025193
0,0,1,0,0,0,0,0,0,0.09639526739480683
0,0,1,0,0,0,0,0,1,0.05141141406386984
0,0,1,0,0,0,0,0,1,0.03857323382604361
0,0,0,0,1,0,0,0,0,0.2051189783917375
0,0,0,0,1,0,0,0,0,0.35418965999127283
1,0,0,0,0,0,0,0,0,0.40185241063842736
0,0,0,0,0,0,0,1,0,0.5287870186542901
0,0,1,0,0,0,0,0,0,0.08183971560169578
0,0,0,0,0,0,0,1,0,0.47356576122161276
0,0,0,0,1,0,0,0,0,0.1379000958556581
0,0,0,0,0,1,1,0,0,0.7563236715047723
0,0,0,1,0,0,0,0,0,0.01477143344151743
0,0,0,0,0,1,1,0,0,0.8505507046958594
0,0,1,0,0,0,0,0,0,0.09097300045925527
0,0,0,0,0,1,0,0,0,0.6130999341380289
0,0,1,0,0,0,0,0,0,0.0866881981493498
0,0,1,0,0,0,0,0,0,0.07264056544049347
0,0,0,0,1,0,0,0,0,0.32979405984203625
0,0,0,0,1,0,0,0,0,0.3000028683127227
0,0,0,0,1,0,0,0,0,0.1980199471124301
0,0,0,0,1,0,0,0,0,0.4187945948942343
0,0,1,0,0,0,0,0,1,0.02785511737858226
0,0,1,0,0,0,1,0,1,0.015916126199702063
0,0,0,0,0,0,0,1,0,0.6709873107120292
0,0,0,0,1,0,0,0,0,0.195784966489852
0,0,0,0,1,0,0,0,0,0.2926384621566741
0,0,0,0,1,0,0,0,0,0.284337438970658
0,0,0,0,1,0,0,0,0,0.32860458911976453
0,0,0,0,1,0,0,0,0,0.35288962123042755
0,0,1,0,0,0,0,0,0,0.1254667426967806
0,0,1,0,0,0,0,0,0,0.10613471179252087
1,0,0,0,0,0,0,0,0,0.24598527915182444
1,0,0,0,0,0,0,0,0,0.44908692783163795
1,0,0,0,0,0,0,0,0,0.35193174908552344
0,0,1,0,0,0,0,0,0,0.09962192158974326
0,0,1,0,0,0,0,0,1,0.030889946548541658
0,0,0,0,1,0,0,0,0,0.3087062991791182
0,0,0,0,0,0,0,1,0,0.5584326304362289
0,0,1,0,0,0,0,0,0,0.07090958439025631
0,0,0,0,0,0,0,1,0,0.570604626241361
0,0,0,0,0,0,0,1,0,0.5419889499717341
0,0,0,0,0,0,0,1,0,0.5190539632639011
0,1,0,0,0,1,0,0,0,0.31510399429822356
0,0,0,0,1,0,0,0,0,0.25893329724226566
0,0,1,0,0,0,0,0,1,0.04752479356945061
0,0,1,0,0,0,0,0,0,0.0815323568939163
0,0,1,0,0,0,0,0,0,0.07167003044817649
1,0,0,0,0,0,0,0,0,0.37227689516542617
1,0,0,0,0,0,0,0,0,0.3154439494659468
0,0,1,0,0,0,0,0,0,0.08344513820936994
1,0,0,0,0,0,0,0,0,0.42038741216022335
0,0,1,0,0,0,0,0,0,0.07741209660125359
0,0,0,0,1,0,0,0,0,0.2699186508051214
0,0,0,0,1,0,0,0,0,0.2612268088223289
0,0,0,0,1,0,0,0,0,0.1402503856374685
0,0,0,0,1,0,0,0,0,0.14614713182838968
0,0,0,0,1,0,0,0,0,0.2817733217674646
0,0,1,0,0,0,0,0,1,0.07558435122443019
0,0,0,0,1,0,0,0,0,0.2313221759945615
0,0,0,0,0,1,0,0,0,0.7651024788496785
0,0,0,0,1,0,0,0,0,0.17623250933165924
0,0,0,0,0,1,0,0,0,0.7051599074633265
0,0,0,0,0,1,1,0,0,0.8073215423309422
0,0,0,0,0,1,0,0,0,0.7593388042641598
0,1,0,0,0,1,0,0,0,0.25975802572466666
0,1,0,0,0,1,0,0,0,0.29521100621760515
0,1,0,0,0,1,0,0,0,0.29573899747685933
0,0,1,0,0,0,0,0,0,0.135010064157722
0,0,1,0,0,0,0,0,0,0.18487494812817717
0,0,1,0,0,0,0,0,0,0.11157943537085724
0,0,0,0,0,1,0,0,0,0.6352773215321954
0,0,0,0,0,0,0,1,0,0.44586293938166177
1,0,0,0,0,0,0,0,0,0.32499300017030364
1,0,0,0,0,0,0,0,0,0.39968543854928584
0,0,0,0,1,0,0,0,0,0.22374017562665038
0,0,0,0,0,0,0,1,0,0.5421362601987326
1,0,0,0,0,0,0,0,0,0.24270619925505077
1,0,0,0,0,0,0,0,0,0.32131729486429295
0,0,0,0,1,0,0,0,0,0.2105513159692724
0,0,1,0,0,0,0,0,0,0.06291727377649442
0,0,1,0,0,0,0,0,0,0.08251624772302169
1,0,0,0,0,0,0,0,0,0.38549685327154914
0,0,0,1,0,0,0,0,0,0.006248654061688855
1,0,0,0,0,0,0,0,0,0.4360085109337587
0,0,0,0,1,0,0,0,0,0.2668691411561608
0,0,0,0,1,0,0,0,0,0.3104194968066033
0,0,1,0,0,0,0,0,1,0.022412902618612895
1,0,0,0,0,0,0,0,0,0.29662550865527243
0,0,0,0,0,0,0,1,0,0.6375891578293088
0,0,0,0,0,1,0,0,0,0.8127420116865915
0,0,1,0,0,0,0,0,0,0.07819329364458162
0,0,1,0,0,0,0,0,0,0.10144671713765017
0,0,0,0,0,0,0,1,0,0.4979469819615979
0,0,1,0,0,0,0,0,1,0.04761139597772568
0,0,0,0,1,0,0,0,0,0.29816868211436753
0,0,0,0,0,1,0,0,0,0.6626105847775972
0,0,0,0,0,1,0,0,0,0.684424018891973
1,0,0,0,0,0,0,0,0,0.38259390756631584
0,0,0,0,0,0,0,1,0,0.48959137135358244
0,0,1,0,0,0,0,0,1,0.05047079165538737
0,0,0,0,0,1,1,0,0,0.8238666419726307
0,0,0,0,0,1,0,0,0,0.5756385558517969
0,0,1,0,0,0,0,0,0,0.0836147982334925
0,0,1,0,0,0,0,0,0,0.06817856271422257
0,0,0,0,0,0,0,1,0,0.44754874055721594
0,0,0,0,0,0,0,1,0,0.5704197585055807
1,0,0,0,0,0,0,0,0,0.4400108918642177
0,0,0,0,0,0,0,1,0,0.6625523044945844
0,0,0,0,0,0,0,1,0,0.598093913795545
0,0,0,0,1,0,0,0,0,0.26957357319420017
0,0,1,0,0,0,0,0,1,0.06743783912114087
0,0,0,0,0,0,0,1,0,0.6018461739494166
1,0,0,0,0,0,0,0,0,0.4480521578608232
0,0,0,0,0,1,0,0,0,0.6977733499582648
0,0,0,0,0,0,0,1,0,0.5342572232523578
0,0,1,0,0,0,0,0,0,0.08885477162848565
0,0,0,0,1,0,0,0,0,0.2083600517511074
0,0,0,0,1,0,0,0,0,0.17273327151142326
0,0,0,0,1,0,0,0,0,0.2610500666135254
0,0,1,0,0,0,0,0,0,0.05120645115465339
0,0,0,0,0,0,0,1,0,0.5753746201775092
0,0,0,0,1,0,0,0,0,0.16556736421351537
0,0,1,0,0,0,0,0,0,0.10350015690680137
